id_city,id_state,variable,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
San Diego CA,CA,daily_max,66.4,66.2,67.0,68.8,69.5,71.7,75.3,77.3,77.2,74.6,70.7,66
San Diego CA,CA,daily_mean,58.4,59.0,60.7,62.9,64.8,67.2,70.7,72.4,71.7,68.1,62.7,57.9
San Diego CA,CA,precipitation,1.98,2.2,1.46,0.65,0.28,0.05,0.08,0.01,0.12,0.5,0.79,1.67
San Francisco CA,CA,daily_max,57.8,60.4,62.1,63.0,64.1,66.5,66.3,67.9,70.2,69.8,63.7,57.9
San Francisco CA,CA,daily_mean,52.2,54.2,55.5,56.4,57.8,59.7,60.3,61.7,62.9,62.1,57.2,52.5
San Francisco CA,CA,precipitation,4.4,4.37,3.15,1.6,0.7,0.2,0.01,0.06,0.1,0.94,2.6,4.76
San Jose CA,CA,daily_max,59.8,62.4,65.9,69.2,73.8,79.1,80.8,81.4,80.7,75.8,66.1,59.5
San Jose CA,CA,daily_mean,50.8,53.2,56.1,58.8,63.0,67.3,69.5,70.0,69.0,64.3,55.9,50.6
San Jose CA,CA,precipitation,2.97,3.24,2.64,1.24,0.54,0.17,0.01,0.03,0.07,0.8,1.36,3.07
Sonora CA,CA,daily_max,55.7,58.2,62.1,66.7,75.6,85.3,92.8,91.9,86.7,76.2,63.2,55.1
Sonora CA,CA,daily_mean,44.3,46.2,49.5,53.2,60.6,68.0,74.8,73.7,68.8,59.6,49.8,43.8
Sonora CA,CA,precipitation,6.32,5.5,5.37,3.03,1.54,0.34,0.03,0.07,0.2,1.64,3.24,5.51
Colorado Springs CO,CO,daily_max,45,46.5,54.9,61.0,70.7,81.6,86.5,83.6,77.1,64.7,52.9,44.6
Colorado Springs CO,CO,daily_mean,31.8,33.4,41.1,47.5,57.5,67.2,72.4,70.1,63.0,50.7,39.5,31.7
Colorado Springs CO,CO,precipitation,0.29,0.32,0.79,1.45,1.99,2.27,3.12,2.96,1.35,0.77,0.37,0.23
Denver CO,CO,daily_max,44.6,45.7,55.7,61.7,71.2,83.4,89.9,87.5,79.6,65.3,52.9,44
Denver CO,CO,daily_mean,31.7,32.7,41.6,47.8,57.4,68.2,75.1,72.9,64.8,51.1,39.4,31.2
Denver CO,CO,precipitation,0.38,0.41,0.86,1.68,2.16,1.94,2.14,1.58,1.35,0.99,0.64,0.35
Hartford CT,CT,daily_max,35.8,38.5,47.3,60.5,71.7,79.9,85.2,83.3,75.7,63.5,51.5,40.6
Hartford CT,CT,daily_mean,27.1,29.6,37.8,49.5,60.0,68.9,74.3,72.5,64.8,53.0,42.3,32.6
Hartford CT,CT,precipitation,3.28,3.13,3.81,3.88,3.79,4.28,4.17,4.21,4.39,4.52,3.51,4.08
New Haven CT,CT,daily_max,38.1,40.2,47.0,57.8,67.7,76.4,82.1,81.0,74.7,63.8,53.4,43.7
New Haven CT,CT,daily_mean,30.5,32.0,38.5,48.5,58.5,67.9,73.9,72.9,66.0,54.7,44.7,36.3
New Haven CT,CT,precipitation,2.72,2.84,3.66,4.19,3.54,3.47,3.36,3.55,4.03,3.78,3.12,3.53
Washington DC,DC,daily_max,44.8,48.3,56.5,68.0,76.5,85.1,89.6,87.8,80.7,69.4,58.2,48.8
Washington DC,DC,daily_mean,37.5,40.0,47.6,58.2,67.2,76.3,81.0,79.4,72.4,60.8,49.9,41.7
Washington DC,DC,precipitation,2.86,2.62,3.5,3.21,3.94,4.2,4.33,3.25,3.93,3.66,2.91,3.41
Dover DE,DE,daily_max,44.4,47.4,54.5,66.0,74.4,82.7,86.9,85.1,79.2,68.9,58.0,48.6
Dover DE,DE,daily_mean,36,38.2,45.0,55.5,64.4,73.2,77.9,76.2,70.1,59.2,48.7,40.3
Dover DE,DE,precipitation,3.43,3.08,4.21,3.72,3.89,4.56,4.14,4.92,4.25,4.06,3.36,3.99
Jacksonville FL,FL,daily_max,65.5,68.9,74.3,79.8,85.9,89.9,91.9,90.7,87.1,80.8,73.1,67.5
Jacksonville FL,FL,daily_mean,54.2,57.5,62.4,68.1,74.9,80.3,82.5,82.1,78.8,71.2,62.3,56.7
Jacksonville FL,FL,precipitation,3.28,2.86,3.29,2.93,3.42,7.6,6.77,6.88,7.56,4.03,2.0,2.78
Key West FL,FL,daily_max,75.8,77.4,79.6,82.6,85.9,88.7,90.2,90.6,89.0,85.8,81.0,77.7
Key West FL,FL,daily_mean,70.6,72.3,74.4,77.9,81.1,84.1,85.4,85.5,84.1,81.3,76.6,73
Key West FL,FL,precipitation,1.83,1.54,1.53,2.07,3.12,4.23,3.63,5.37,7.24,5.67,2.05,2.15
Miami FL,FL,daily_max,76.2,78.2,80.6,83.6,86.7,89.3,90.6,90.7,89.0,85.9,81.3,78.2
